Year,Study Name,Region,Centers,Start Date,Duration,Sample Size,Male (%),Age,NIHSS,Imaging Method
2018,Mazya et al.,International,multicenter,"December 1, 2012","3 years, 4 months",2336,64.7,Median: 67.0,Median: 4.0,"CT, MRI"
2020,Min et al.,South Korea,single-center,"March 1, 2009","4 years, 9 months",166,60.8,Mean: 66.0,Median: 2.0,MRI
2020,Saleem et al.,USA,single-center,"January 1, 2014","3 years, 11 months",122,59.8,Mean: 62.0,Median: 3.0,"CT, MRI"
2020,Lee et al.,USA,single-center,"January 1, 2014","5 years, 3 months",81,59.0,Mean: 65.8,Mean: 4.3,CT
2021,He et al.,China,multicenter,"May 1, 2014","6 years, 4 months",134,50.0,Mean: 67.01,Median: 2.0,"CT, MRI"
2021,Seners et al.,"France, Switzerland",multicenter,"January 1, 2006","13 years, 8 months",1076,48.8,Mean: 70.0,Median: 3.0,"CT, MRI"
2021,Boulenoir et al.,"France, Switzerland",multicenter,"January 1, 2006","12 years, 11 months",74,75.7,Mean: 64.0,Median: 3.0,"CT, MRI"
2021,Gwak et al.,South Korea,single-center,"January 1, 2011","8 years, 4 months",94,52.1,Mean: 66.9,Mean: 2.12,"CT, MRI"
2022,Boulenoir et al.,"France, Switzerland",multicenter,"January 1, 2006","14 years, 11 months",189,72.5,Mean: 65.0,Median: 3.0,"CT, MRI"
2022,Gwak et al.,South Korea,single-center,"January 1, 2011","8 years, 4 months",94,52.1,Mean: 66.9,Mean: 2.12,MRI
2022,Wang et al.,China,single-center,"July 1, 2017","2 years, 5 months",39,48.7,Mean: 64.23,Median: 3.0,"CT, DSA, MRI"
2022,Kim et al.,South Korea,multicenter,"January 1, 2015","4 years, 2 months",1083,61.8,Mean: 67.2,Median: 2.0,"CT, MRI"
2023,Itabashi et al.,Japan,single-center,"April 1, 2006","11 years, 11 months",35,68.6,Median: 73.0,Median: 2.0,MRI
2024,Broccolini et al.,Italy,multicenter,"January 1, 2016","5 years, 11 months",208,51.0,Median: 70.0,Median: 3.0,CT
2025,Shi et al.,China,single-center,"January 1, 2019","4 years, 11 months",347,67.4,Mean: 66.9,Median: 2.0,CT
2025,Hu et al.,China,single-center,"January 1, 2020","3 years, 11 months",163,67.5,Mean: 66.3,Median: 2.0,CT
2025,Heitkamp et al.,Germany,multicenter,"June 1, 2015","6 years, 6 months",817,51.3,Median: 72.0,Median: 4.0,"CT, DSA"
